nct_id,title,official_title,status,start_date,completion_date,primary_completion_date,phase,enrollment,study_type,allocation,intervention_model,primary_purpose,masking,conditions,intervention_types,intervention_names,sponsor,sponsor_type,has_results,num_outcome_measures,num_primary_outcomes,num_secondary_outcomes,primary_outcome_titles,primary_outcome_descriptions,primary_outcome_timeframes,primary_analyses_data,num_p_values_in_primary,all_p_values_primary,all_param_values_primary,all_ci_data_primary,baseline_participants
NCT00231725,Complaints Associated With Use of Pre-Filled Pen B With Type 2 Diabetics on Twice-Daily Insulin,Complaints Associated With Use of Pre-Filled Pen B When Used by Patients With Type 2 Diabetes on Twice-Daily Insulin Therapy,COMPLETED,2005-09,2006-04,,PHASE3,370.0,INTERVENTIONAL,NON_RANDOMIZED,SINGLE_GROUP,,NONE,Type 2 Diabetes Mellitus,DRUG,insulin lispro injection [rDNA origin] Low Mix,Eli Lilly and Company,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00213070,Double-Blind Trial of Miglitol in Type 2 Diabetic Patients With Insulin Treatment,,COMPLETED,,,,PHASE3,,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,DRUG,Miglitol,"Sanwa Kagaku Kenkyusho Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01030679,Evaluate the Glycemic Control of CKD-501 in Type 2 Diabetes Mellitus,"To Investigate the Glycemic Control and Lipid Profile of CKD-501 Monotherapy in Patients With Type 2 Diabetes Mellitus:a Eight-week, Multicenter, Randomized, Double-blind, Parallel-Group, Placebo-controlled, Dose-ranging Study.",COMPLETED,2007-07,2008-10,2008-10,PHASE2,214.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetes Mellitus, Type 2","DRUG, DRUG, DRUG, DRUG","CKD-501 0.5mg, CKD-501 1mg, CKD-501 2mg, Placebo",Chong Kun Dang Pharmaceutical,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00849017,Safety and Efficacy Study of Albiglutide in Type 2 Diabetes,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter Study to Determine the Efficacy and Safety of Two Dose Levels of Albiglutide Compared With Placebo in Subjects With Type 2 Diabetes Mellitus",COMPLETED,2009-01,2013-02,2011-11,PHASE3,309.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2","BIOLOGICAL, BIOLOGICAL, BIOLOGICAL","albiglutide, albiglutide uptitration, placebo",GlaxoSmithKline,INDUSTRY,True,13,1,12,Change From Baseline (BL) in Glycosylated Hemoglobin (HbA1c) at Week 52,"Glycated hemoglobin (HbA1c) is a form of hemoglobin that is measured primarily to identify the average plasma glucose concentration over a 2- to 3-month period. The BL HbA1c is defined as the last non-missing value before the start of treatment. Change from BL was calculated as the value at Week 52 minus the value at BL. The analysis was performed using an Analysis of Covariance (ANCOVA) model with treatment group, region, history of prior myocardial infarction (yes versus no), and age category (\<65 years versus ≥65 years) as factors and Baseline HbA1c as a continuous covariate. The last observation carried forward (LOCF) method was used to impute missing post-BL HbA1c values; the last non-missing post-BL on-treatment measurement was used to impute the missing measurement. HbA1c values obtained after hyperglycemic rescue were treated as missing and were replaced with pre-rescue values.",Baseline and Week 52,"[{""groupIds"": [""OG000"", ""OG001""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""-0.84"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-1.11"", ""ciUpperLimit"": ""-0.58""}, {""groupIds"": [""OG000"", ""OG002""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""-1.04"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-1.31"", ""ciUpperLimit"": ""-0.77""}]",2,"<0.0001, <0.0001","-0.84, -1.04","[-1.11, -0.58] | [-1.31, -0.77]",602.0
NCT03205150,Effect of LIK066 on Reduction of Fatty Content in Livers of Obese Patients,"A 12-week Randomized, Patient and Investigator Blinded, Placebo-controlled, Parallel Group Study to Investigate the Efficacy of LIK066 in Obese Patients With Non-alcoholic Steatohepatitis (NASH)",COMPLETED,2017-10-04,2019-11-14,2019-11-11,PHASE2,107.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Obese Patients With Non-alcoholic Steatohepatitis (NASH),"DRUG, DRUG","LIK066, Placebo",Novartis Pharmaceuticals,INDUSTRY,True,11,1,10,Change From Baseline in Alanine Aminotransferase (ALT) at Week 12,"Alanine aminotransferase (ALT) is an enzyme found primarily in the liver. ALT is increased with liver damage. In this study, the blood levels of ALT was used to detect liver injury. Baseline is defined as the mean of measurements taken at the Screening and Baseline visits.","Baseline, Week 12","[{""groupIds"": [""OG000"", ""OG002""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""0.075"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""-13.29"", ""ciPctValue"": ""80"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-22.80"", ""ciUpperLimit"": ""-3.78"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""7.35""}, {""groupIds"": [""OG001"", ""OG002""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""0.005"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""-21.64"", ""ciPctValue"": ""80"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-31.33"", ""ciUpperLimit"": ""-11.94"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""7.49""}, {""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""0.178"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""8.35"", ""ciPctValue"": ""80"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""0.41"", ""ciUpperLimit"": ""16.29"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""6.14""}]",3,"0.075, 0.005, 0.178","-13.29, -21.64, 8.35","[-22.80, -3.78] | [-31.33, -11.94] | [0.41, 16.29]",214.0
NCT01634282,Along-term Study of OPC-262 in Patients With Type 2 Diabetes,A Long-term Clinical Study of OPC-262 in Patients With Type 2 Diabetes on Study (Extension From Study 262-09-001),COMPLETED,2009-08,2011-06,2011-06,PHASE3,222.0,INTERVENTIONAL,NA,SINGLE_GROUP,TREATMENT,NONE,"Diabetes, Type 2",DRUG,OPC-262,"Kyowa Kirin Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01648582,A Study Comparing the Effects and Safety of Dulaglutide With Insulin Glargine in Type 2 Diabetes Mellitus,"The Efficacy and Safety of Once-Weekly, Subcutaneous Dulaglutide Compared to Once-Daily Insulin Glargine in Patients With Type 2 Diabetes Mellitus on Metformin and/or a Sulfonylurea",COMPLETED,2012-07,2014-12,2014-08,PHASE3,774.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG, DRUG","Dulaglutide, Insulin glargine, Metformin, Sulfonylureas",Eli Lilly and Company,INDUSTRY,True,22,1,21,Change From Baseline in Glycosylated Hemoglobin (HbA1c) at 26 Weeks,"HbA1c is a form of hemoglobin that is measured primarily to identify the average plasma glucose concentration over prolonged periods of time. Least square (LS) means of change from baseline in HbA1c were calculated using a mixed-effects model for repeated measures (MMRM) with the change in HbA1c as the dependent variable and treatment, baseline HbA1c, country, oral antihyperglycemic medication (OAM) , visit, and treatment-by-visit interaction as fixed effects, and participant was the random effect.","Baseline, 26 Weeks","[{""groupIds"": [""OG000"", ""OG002""], ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE_LEGACY"", ""nonInferiorityComment"": ""Analyses were based on a pre-defined non-inferiority margin of 0.4%."", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""-0.57"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.74"", ""ciUpperLimit"": ""-0.40""}, {""groupIds"": [""OG001"", ""OG002""], ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE_LEGACY"", ""nonInferiorityComment"": ""Analyses were based on a pre-defined non-inferiority margin of 0.4%."", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""-0.18"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.35"", ""ciUpperLimit"": ""-0.01""}]",0,,"-0.57, -0.18","[-0.74, -0.40] | [-0.35, -0.01]",1510.0
NCT00157508,Renal and Systemic Effects of NCX4016 in Patients With Type 2 Diabetes and Early Nephropathy,"A Pilot, Randomised, Double-blind, Cross-over Study to Assess the Renal and Systemic Effects of NCX4016 in Patients With Type 2 Diabetes and Early Nephropathy",TERMINATED,2003-03,2004-08,,PHASE2,13.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,PREVENTION,DOUBLE,"Type 2 Diabetes, Early Nephropathy",DRUG,nitroaspirin,Mario Negri Institute for Pharmacological Research,OTHER,False,0,0,0,,,,,0,,,,
NCT03739125,Efficacy and Safety of CKD-501 Added to D150 Plus D745 10mg Therapy in Patients With Type 2 Diabetes,"Efficacy and Safety of CKD-501 Added to D150 Plus D745 10mg Therapy in Patients With Type 2 Diabetes Inadequately Controlled With D150 Plus D745 10mg: Multi-center, Randomized, Double-blind, Parallel-group, Placebo Control, Therapeutic Confirmatory Study",COMPLETED,2017-11-07,2020-12-02,2020-05-25,PHASE3,226.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Type2 Diabetes,"DRUG, DRUG","CKD-501 0.5mg, Placebo",Chong Kun Dang Pharmaceutical,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00856908,Safety and Tolerability After Four Weeks of Treatment With AZD1656 in Patients With Type 2 Diabetes,"A Randomised, Single-Blind, Placebo-Controlled, Phase IIa Study to Assess the Safety and Tolerability After Multiple Oral Doses of AZD1656 During Four Weeks in T2DM Subjects Treated With Insulin",COMPLETED,2009-02,2009-08,2009-08,PHASE2,20.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,SINGLE,Type II Diabetes,"DRUG, DRUG","AZD1656, Placebo",AstraZeneca,INDUSTRY,True,13,5,8,"Systolic Blood Pressure, Change From Baseline to End of Treatment | Diastolic Blood Pressure, Change From Baseline to End of Treatment | Pulse, Change From Baseline to End of Treatment | Weight, Change From Baseline to End of Treatment | Clinically Relevant Change of Laboratory Variables"," |  |  |  | Number of participants with clinically relevant change of laboratory variables (clinical chemistry, haematology and urinalysis parameters","Baseline is pre-dose first day of dosing, end of treatment is the morning following the treatment period | Baseline is pre-dose first day of dosing, end of treatment is the morning following the treatment period | Baseline is pre-dose first day of dosing, end of treatment is the morning following the treatment period | Baseline is the day before first dose, end of treatment is last day of treatment | Measured regularly from day before first dose to day after last dose",,0,,,,40.0
NCT01131676,BI 10773 (Empagliflozin) Cardiovascular Outcome Event Trial in Type 2 Diabetes Mellitus Patients (EMPA-REG OUTCOME).,"A Phase III, Multicentre, International, Randomised, Parallel Group, Double Blind Cardiovascular Safety Study of BI 10773 (10 mg and 25 mg Administered Orally Once Daily) Compared to Usual Care in Type 2 Diabetes Mellitus Patients With Increased Cardiovascular Risk",COMPLETED,2010-07,2015-04,2015-04,PHASE3,7064.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2","DRUG, DRUG, DRUG, DRUG, DRUG, DRUG","BI 10773 low dose, Placebo BI 10773 high dose, BI 10773 high dose, Placebo BI 10773 low dose, Placebo BI 10773 low dose, Placebo BI 10773 high dose",Boehringer Ingelheim,INDUSTRY,True,7,1,6,"Time to the First Occurrence of Any of the Following Adjudicated Components of the Primary Composite Endpoint (3-point MACE): CV Death (Including Fatal Stroke and Fatal MI), Non-fatal MI (Excluding Silent MI), and Non-fatal Stroke.","Time to the first occurrence of any of the following adjudicated components of the primary composite endpoint (3-point major adverse cardiovascular events (MACE)): cardiovascular (CV) death (including fatal stroke and fatal myocardial infarction (MI)), non-fatal MI (excluding silent MI), and non-fatal stroke.

Percentage of patients with the event are presented.","From randomisation to individual end of observation, up to 4.6 years","[{""groupIds"": [""OG000"", ""OG003""], ""groupDescription"": ""Primary objective was to establish the non-inferiority of All empagliflozin relative to placebo for time to first 3-point MACE. A 4-step hierarchical testing strategy was followed for the non-inferiority test of the primary endpoint and then the key secondary endpoint, each at a margin of 1.3, followed by test of superiority of primary and key secondary endpoints."", ""testedNonInferiority"": true, ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE"", ""nonInferiorityComment"": ""The non-inferiority margin was chosen as 1.3 based on Food and Drug Administration (FDA) Guidance for Industry - Diabetes Mellitus - Evaluating Cardiovascular Risk in New Antidiabetic Therapies to Treat Type 2 Diabetes"", ""pValue"": ""<0.0001"", ""pValueComment"": ""One-sided test with alpha = 0.0249"", ""statisticalMethod"": ""Cox proportional hazards model"", ""statisticalComment"": ""Cox proportional hazards model with factors for treatment, age, gender, categorised BMI, HbA1c, eGFR and geographical region."", ""paramType"": ""Hazard Ratio (HR)"", ""paramValue"": ""0.86"", ""ciPctValue"": ""95.02"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""0.74"", ""ciUpperLimit"": ""0.99"", ""estimateComment"": ""All Empagliflozin divided by Placebo""}, {""groupIds"": [""OG000"", ""OG003""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""0.0382"", ""pValueComment"": ""Two-sided test with alpha=0.0498"", ""statisticalMethod"": ""Cox proportional hazards model"", ""statisticalComment"": ""Cox proportional hazards model with factors for treatment, age, gender, categorised BMI, HbA1c, eGFR and geographical region."", ""paramType"": ""Hazard Ratio (HR)"", ""paramValue"": ""0.86"", ""ciPctValue"": ""95.02"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""0.74"", ""ciUpperLimit"": ""0.99"", ""estimateComment"": ""All Empagliflozin divided by Placebo""}]",2,"<0.0001, 0.0382","0.86, 0.86","[0.74, 0.99] | [0.74, 0.99]",14040.0
NCT00348725,Acceptability of a Fixed Combination of Fenofibrate and Metformin,"An Open Label, Parallel-Arm, Multicenter Trial Assessing the Acceptability of 4 Dosages of a New Fixed Dose Combination of Fenofibrate and Metformin in Patients With Type 2 Diabetes and Dyslipidemia",COMPLETED,2005-04,,,PHASE3,69.0,INTERVENTIONAL,NON_RANDOMIZED,PARALLEL,TREATMENT,NONE,Dyslipidemia/Glucose Metabolism Disorder,DRUG,fenofibrate and metformin fixed combination (drug),Solvay Pharmaceuticals,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00543010,MK0767 Glipizide Comparator Cardiac Safety Study (0767-018),,TERMINATED,2002-11,2003-11,2003-11,PHASE3,247.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2",DRUG,MK0767,Merck Sharp & Dohme LLC,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01028391,30-Week Extension to an Initial Combination Study (24 Weeks in Duration) of Sitagliptin With Pioglitazone (0431-064),"A 30-Week Extension to: A Multicenter, Randomized, Double-Blind Study to Evaluate the Safety and Efficacy of the Initial Therapy With Coadministration of Sitagliptin and Pioglitazone in Patients With Type 2 Diabetes Mellitus",COMPLETED,2007-09-01,2009-01-01,2009-01-01,PHASE3,317.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG","Sitagliptin 100 mg q.d.+ Pioglitazone 45 mg q.d., Pioglitazone 45 mg q.d. + Sitagliptin 100 mg placebo q.d., Metformin",Merck Sharp & Dohme LLC,INDUSTRY,True,2,1,1,"Change From Baseline (i.e., Week 0 of the 24-week Base Study) in Hemoglobin A1c (HbA1c) at Week 54",HbA1c is measured as percent. Thus this change from baseline reflects the Week 54 HbA1c percent minus the Week 0 HbA1c percent.,Baseline and 54 Weeks,"[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""-0.51"", ""ciPctValue"": ""95"", ""ciLowerLimit"": ""-0.76"", ""ciUpperLimit"": ""-0.26"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""4.0"", ""estimateComment"": ""This is a difference in least squares means, based on an ANCOVA model with terms for treatment and baseline (i.e., Week 0 of the 24-week base study) HbA1c.""}]",0,,-0.51,"[-0.76, -0.26]",634.0
NCT01828125,Efficacy of Small Subcutaneous Glucagon Dose to Treat Hypoglycemia in Adults With Type 1 Diabetes,"A Double-blinded, Randomized, Two-way, Cross-over Study to Assess the Efficacy of Small Subcutaneous Glucagon Dose Against the Conventional 1 mg Dose to Treat Hypoglycemia in Adults With Type 1 Diabetes",WITHDRAWN,2013-04,2013-12,2013-12,PHASE2,0.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,TREATMENT,DOUBLE,Type 1 Diabetes,"PROCEDURE, DRUG","Hypoglycaemic hyperinsulinemic clamp, Glucagon",Institut de Recherches Cliniques de Montreal,OTHER,False,0,0,0,,,,,0,,,,
NCT05028140,Efficacy and Safety of Piemonte Association in the Treatment of Type II Diabetes Mellitus,"National, Multicenter, Randomized, Double-blind, Triple-dummy, Phase III Clinical Trial to Evaluate the Efficacy and Safety of Piemonte Association in the Treatment of Type II Diabetes Mellitus",NOT_YET_RECRUITING,2024-03,2026-09,2026-03,PHASE3,480.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type II Diabetes,"DRUG, OTHER, DRUG, OTHER, DRUG, OTHER","PIEMONTE, PIEMONTE PLACEBO, EMPAGLIFLOZIN, PLACEBO EMPAGLIFLOZIN, PIOGLITAZONE, PLACEBO PIOGLITAZONE",EMS,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00103935,Study Examining Exenatide Long-Acting Release in Subjects With Type 2 Diabetes,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Examine Safety and Pharmacokinetics of Exenatide Long-Acting Release Administered Weekly in Subjects With Type 2 Diabetes Mellitus",COMPLETED,2005-02,2005-10,2005-10,PHASE2,45.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG, DRUG","placebo, placebo, Exenatide LAR, Exenatide LAR",AstraZeneca,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00099320,Safety and Efficacy of Exenatide in Patients With Type 2 Diabetes Using Thiazolidinediones or Thiazolidinediones and Metformin,Safety and Efficacy of Exenatide in Patients With Type 2 Diabetes Using Thiazolidinediones or Thiazolidinediones and Metformin,COMPLETED,2004-05,2005-08,2005-08,PHASE3,182.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","exenatide, Placebo",AstraZeneca,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00495885,Efficacy and Safety of M100907 on Sleep Maintenance Insomnia With a Sub-study in Stable Type II Diabetes Mellitus,"Efficacy and Safety of 2 mg/Day of M100907 on Sleep Maintenance Insomnia With a Sub-study of the Effect of M100907 on Stable Type II Diabetes Mellitus: a 12-week, Multi-center, Randomized, Double-blind, Placebo-controlled Study",COMPLETED,2007-06,2008-10,2008-10,PHASE3,848.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Sleep Initiation and Maintenance Disorders,"DRUG, DRUG","volinanserin (M100907), Placebo",Sanofi,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT04660643,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight for the Maintenance of Weight Loss,"Efficacy and Safety of Tirzepatide Once Weekly Versus Placebo for Maintenance of Weight Loss in Participants Without Type 2 Diabetes Who Have Obesity or Are Overweight With Weight-Related Comorbidities: A Randomized, Double-Blind, Placebo-Controlled Trial (SURMOUNT-4)",COMPLETED,2021-03-29,2023-05-18,2023-04-25,PHASE3,783.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Obesity, Overweight","DRUG, OTHER","Tirzepatide, Placebo",Eli Lilly and Company,INDUSTRY,True,26,1,25,Percent Change From Randomization in Body Weight at Week 88,Least square (LS) mean was analysed by mixed model repeated measures (MMRM) model with randomization + analysis country + sex + interactive web response system (IWRS) MTD at Week 36 + treatment + time + treatment\*time (Type III sum of squares) as variables.,"Randomization (Week 36), Week 88","[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""<.001"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""LS Mean difference"", ""paramValue"": ""-21.4"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-22.9"", ""ciUpperLimit"": ""-20.0""}]",1,<.001,-21.4,"[-22.9, -20.0]",1340.0
NCT01984489,Efficacy and Safety Study of SHR117887 in Combination With Metformin in Patients With Type 2 Diabetes,"A Multicenter Randomized, Double-blind, Placebo Controlled ,Parallel Group ,Phase II Study to Access the Efficacy and Safety of SHR117887 in Combination Therapy With Metformin in Patients With Type 2 Diabetes Patients",COMPLETED,2012-06,2013-08,2013-05,PHASE2,120.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes,"DRUG, DRUG","Placebo, SHR117887","Jiangsu HengRui Medicine Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01999218,Ertugliflozin vs. Glimepiride in Type 2 Diabetes Mellitus (T2DM) Participants on Metformin (MK-8835-002),"A Phase III, Multicenter, Randomized, Double-Blind, Active-Comparator-Controlled Clinical Trial to Study the Safety and Efficacy of the Addition of Ertugliflozin (MK-8835/PF-04971729) Compared With the Addition of Glimepiride in Subjects With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Metformin",COMPLETED,2013-12-16,2017-04-18,2017-04-18,PHASE3,1326.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG","Ertugliflozin 5 mg, Ertugliflozin 10 mg, Glimerpiride, Placebo to Ertugliflozin, Placebo to Glimepiride, Metformin, Sitagliptin",Merck Sharp & Dohme LLC,INDUSTRY,True,6,3,3,Change From Baseline in Hemoglobin A1C (A1C) at Week 52: Excluding Rescue Approach | Percentage of Participants Experiencing An Adverse Event (AE) Up to Week 106 | Percentage of Participants Discontinuing Study Treatment Due to an AE Up to Week 104,"A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). A1C represents the percentage of glycated hemoglobin. This change from baseline reflects the Week 52 A1C minus the Week 0 A1C. A negative number indicates a reduction in A1C level. Participants who met glycemic rescue criteria received open-label sitagliptin glycemic rescue medication. The primary study objective was the MK-8835 15 mg vs. glimepiride comparison; the MK-8835 5mg vs glimerpiride comparison was a secondary study objective. | An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study. | An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Baseline and Week 52 | Up to Week 106 | Up to Week 104,"[{""groupIds"": [""OG001"", ""OG002""], ""nonInferiorityType"": ""NON_INFERIORITY"", ""nonInferiorityComment"": ""Non-inferiority is declared if the upper bound of the two-sided 95% confidence interval (CI) for the mean difference is less than 0.3%."", ""paramType"": ""Difference in the Least Squares Means"", ""paramValue"": ""0.10"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.02"", ""ciUpperLimit"": ""0.22"", ""estimateComment"": ""Constrained Longitudinal Data Analysis (cLDA) model with fixed effects for treatment, time, prior antihyperglycemic medication (monotherapy or dual therapy), baseline eGFR (continuous) and the interaction of time by treatment.""}, {""groupIds"": [""OG000"", ""OG002""], ""nonInferiorityType"": ""NON_INFERIORITY"", ""nonInferiorityComment"": ""Non-inferiority is declared if the upper bound of the two-sided 95% confidence interval (CI) for the mean difference is less than 0.3%."", ""paramType"": ""Difference in the Least Squares means"", ""paramValue"": ""0.18"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""0.06"", ""ciUpperLimit"": ""0.30"", ""estimateComment"": ""Based on cLDA model with fixed effects for treatment, time, prior antihyperglycemic medication (monotherapy or dual therapy), baseline eGFR (continuous) and the interaction of time by treatment.\n\nTime was treated as a categorical variable.""}, {""groupIds"": [""OG001"", ""OG002""], ""nonInferiorityType"": ""OTHER"", ""nonInferiorityComment"": ""Based on Miettinen \\& Nurminen method"", ""paramType"": ""Difference in % vs. Glimepiride"", ""paramValue"": ""1.6"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-4.5"", ""ciUpperLimit"": ""7.7""}, {""groupIds"": [""OG000"", ""OG002""], ""nonInferiorityType"": ""OTHER"", ""nonInferiorityComment"": ""Based on Miettinen \\& Nurminen method"", ""paramType"": ""Difference in % vs. Glimepiride"", ""paramValue"": ""0.5"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-5.6"", ""ciUpperLimit"": ""6.5""}, {""groupIds"": [""OG001"", ""OG002""], ""nonInferiorityType"": ""OTHER"", ""paramType"": ""Difference in % vs. Glimepiride"", ""paramValue"": ""3.0"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.3"", ""ciUpperLimit"": ""6.4""}, {""groupIds"": [""OG000"", ""OG002""], ""nonInferiorityType"": ""OTHER"", ""paramType"": ""Difference in % vs. Glimepiride"", ""paramValue"": ""1.5"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-1.7"", ""ciUpperLimit"": ""4.7""}]",0,,"0.10, 0.18, 1.6, 0.5, 3.0, 1.5","[-0.02, 0.22] | [0.06, 0.30] | [-4.5, 7.7] | [-5.6, 6.5] | [-0.3, 6.4] | [-1.7, 4.7]",2652.0
